72047	寶鷹股份	606,833	0.04%
72048	寧波華翔	653,567	0.10%
72049	紫光國微	2,813,824	0.46%
72050	三花智控	211,547,852	9.97%
72051	中工國際	2,207,460	0.19%
72052	同洲電子	63,456	0.00%
72055	得潤電子	536,165	0.11%
72056	橫店東磁	2,546,571	0.15%
72061	浙江交科	2,799,573	0.21%
72063	遠光軟件	830,117	0.09%
72064	華峰氨綸	6,954,348	0.41%
72065	東華軟件	9,191,577	0.29%
72067	景興紙業	828,623	0.07%
72068	黑貓股份	6,041,765	0.83%
72070	*ST眾和	1,820,208	0.28%
72071	長城影視	173	0.00%
72073	軟控股份	729,808	0.07%
72074	國軒高科	3,700,801	0.32%
72078	太陽紙業	8,471,177	0.32%
72079	蘇州固？	464,594	0.06%
72080	中材科技	814,190	0.06%
72081	金 螳 螂	10,547,215	0.39%
72083	孚日股份	76,981	0.00%
72085	萬豐奧威	12,196,797	0.55%
72086	東方海洋	773,128	0.10%
72089	新 海 宜	1,033,435	0.07%
72090	金智科技	8,228	0.00%
72091	江蘇國泰	3,441,839	0.21%
72092	中泰化學	21,623,455	1.00%
72093	國脈科技	898,705	0.08%
72094	青島金王	599,333	0.08%
72095	生 意 寶	218,434	0.08%
72097	山河智能	966,780	0.09%
72099	海翔藥業	1,970,503	0.12%
72100	天康生物	705,759	0.07%
72102	冠福股份	1,000	0.00%
72104	恆寶股份	295,425	0.04%
72106	萊寶高科	201,196	0.02%
72107	沃華醫藥	400	0.00%
72108	滄州明珠	5,105,941	0.36%
72110	三鋼閩光	39,421,137	2.41%
72111	威海廣泰	34,864	0.00%
72114	羅平鋅電	10,095	0.00%
72117	東港股份	2,514,101	0.69%
72118	紫鑫藥業	260,915	0.02%
72120	韻達股份	16,641,056	0.97%
72121	科陸電子	3,074,974	0.21%
72122	*ST天馬	8,420	0.00%
72123	夢網集團	263,554	0.03%
72124	天邦股份	640,080	0.05%
72126	銀輪股份	3,283,142	0.40%
72127	南極電商	9,230,950	0.37%
72128	露天煤業	3,417,088	0.20%
72129	中環股份	7,987,337	0.28%
72130	沃爾核材	247,657	0.01%
72131	利歐股份	2,852,248	0.05%
72135	東南網架	215,444	0.02%
72137	麥達數字	226	0.00%
72138	順絡電子	12,260,735	1.50%
72139	拓邦股份	6,010,823	0.58%
72142	寧波銀行	35,444,333	0.69%
72143	印紀傳媒	1,683,582	0.09%
72145	中核鈦白	637,964	0.04%
72146	榮盛發展	51,683,743	1.18%
72147	新光圓成	432,033	0.02%
72148	北緯科技	10,500	0.00%
72151	北斗星通	286,668	0.05%
72152	廣電運通	7,425,288	0.30%
72153	石基信息	5,476,399	0.51%
72155	湖南黃金	900,281	0.07%
72156	通富微電	5,842,467	0.50%
72157	正邦科技	6,204,517	0.26%
72158	漢鐘精機	1,360,820	0.25%
72161	遠 望 穀	2,051,073	0.27%
72167	東方鋯業	100,424	0.01%
72168	深圳惠程	652,947	0.08%
72169	智光電氣	1,814,120	0.23%
72170	芭田股份	1,599,791	0.18%
72171	楚江新材	413,851	0.03%
72172	澳洋科技	60,600	0.00%
72174	游族網絡	9,965,127	1.12%
72175	東方網絡	430,379	0.05%
72176	江特電機	1,960,711	0.13%
72177	禦銀股份	200,000	0.02%
72178	延華智能	1,108,719	0.15%
72179	中航光電	11,136,017	1.40%
72180	納思達	2,629,851	0.24%
72182	雲海金屬	24,596	0.00%
72183	怡 亞 通	1,553,638	0.07%
72184	海得控制	300	0.00%
72185	華天科技	27,624,505	1.29%
72189	利達光電	300	0.00%
72190	成飛集成	110,604	0.03%
72191	勁嘉股份	3,302,345	0.22%
72192	融捷股份	697,086	0.26%
72194	*ST凡谷	7,617	0.00%
72195	二三四五	13,409,782	0.30%
72197	證通電子	18,589	0.00%
72202	金風科技	18,736,963	0.64%
72203	海亮股份	7,072,404	0.41%
72204	大連重工	1,084,877	0.05%
72206	海 利 得	2,728,642	0.22%
72210	飛馬國際	272,626	0.01%
72212	南洋股份	25,100,722	2.18%
72215	諾 普 信	2,086,961	0.22%
72216	三全食品	20,057	0.00%
72217	合力泰	1,391,449	0.04%
72221	東華能源	10,022,506	0.60%
72222	福晶科技	227,938	0.05%
72223	魚躍醫療	3,052,949	0.30%
72224	三 力 士	31,521	0.00%
72226	江南化工	213,114	0.01%
72227	奧 特 迅	233	0.00%
72229	鴻博股份	18,564	0.00%
72230	科大訊飛	39,101,739	1.86%
72233	塔牌集團	5,171,115	0.43%
72236	大華股份	70,085,052	2.41%
72237	恆邦股份	477,489	0.05%
72238	天威視訊	14,636	0.00%
72239	奧特佳	840,920	0.02%
72240	威華股份	160,285	0.02%
72241	歌爾股份	49,298,057	1.51%
72242	九陽股份	448,946	0.05%
72244	濱江集團	3,273,772	0.10%
72245	澳洋順昌	4,033,303	0.40%
72246	北化股份	28,501	0.00%
72247	帝龍文化	2,921,057	0.34%
72249	大洋電機	874,669	0.03%
72250	聯化科技	1,510,562	0.16%
72251	步 步 高	16,546,989	1.91%
72252	上海萊士	9,583,922	0.19%
72253	川大智勝	21,000	0.00%
72254	泰和新材	884,523	0.14%
72256	兆新股份	754,464	0.04%
72258	利爾化學	1,551,141	0.29%
72259	升達林業	113,814	0.01%
72260	*ST德奧	118,100	0.04%
72261	拓維信息	623,219	0.05%
72262	恩華藥業	2,145,853	0.21%
72263	*ST東南	469,400	0.02%
72265	西儀股份	313	0.00%
72266	浙富控股	2,885,897	0.14%
72267	陝天然氣	3,757,038	0.33%
72268	衛 士 通	28,694,221	3.42%
72269	美邦服飾	2,704,914	0.10%
72271	東方雨虹	14,562,921	0.97%
72273	水晶光電	14,865,720	1.72%
72274	華昌化工	1,289,742	0.20%
72275	桂林三金	403,308	0.06%
72276	萬馬股份	512,726	0.04%
72277	友阿股份	565,992	0.03%
72278	神開股份	12,000	0.00%
72279	久其軟件	436,108	0.06%
72280	聯絡互動	1,642,644	0.07%
72281	光迅科技	3,978,696	0.61%
72282	博深工具	141	0.00%
72283	天潤曲軸	804,772	0.07%
72284	亞太股份	394,240	0.05%
72285	世聯行	3,509,099	0.17%
72287	奇正藏藥	102,405	0.02%
72288	超華科技	17,300	0.00%
72292	奧飛娛樂	3,865,744	0.28%
72293	羅萊生活	2,326,281	0.31%
72294	信立泰	24,262,721	2.31%
72296	輝煌科技	9,693	0.00%
72297	博雲新材	45,000	0.00%
72298	中電興發	68,725	0.00%
72299	聖農發展	20,720,622	1.67%
72300	太陽電纜	120	0.00%
72301	齊心集團	1,217,687	0.18%
72302	西部建設	722,485	0.05%
72303	美盈森	1,869,724	0.12%
72304	洋河股份	92,651,788	6.14%
72305	南國置業	3,311,434	0.19%
72307	北新路橋	410,699	0.04%
72308	威創股份	2,824,100	0.31%
72309	中利集團	626,262	0.07%
72310	東方園林	11,618,111	0.43%
72311	海大集團	30,456,182	1.92%
72312	三泰控股	8,900	0.00%
72313	日海智能	7,189,234	2.30%
72314	南山控股	3,041,195	0.11%
72315	焦點科技	11,031	0.00%
72317	眾生藥業	8,390,062	1.03%
72318	久立特材	7,562,880	0.89%
72320	海峽股份	479,019	0.07%
72321	華英農業	54,600	0.01%
72322	理工環科	272,827	0.06%
72324	普利特	3,984,514	0.98%
72325	洪濤股份	518,119	0.04%
72326	永太科技	256,612	0.03%
72327	富安娜	5,946,107	0.68%
72329	皇氏集團	39,739	0.00%
72332	仙琚製藥	8,039,666	0.87%
72334	英威騰	881,698	0.11%
72335	科華恆盛	242,177	0.08%
72339	積成電子	34,300	0.00%
72340	格林美	10,450,284	0.27%
72341	新綸科技	18,022,806	1.56%
72342	巨力索具	24,443	0.00%
72343	慈文傳媒	2,373,005	0.49%
72344	海寧皮城	4,469,849	0.34%
72345	潮宏基	14,585,379	1.61%
72348	高樂股份	64,719	0.00%
72349	精華製藥	3,688,973	0.44%
72352	順豐控股	11,692,511	0.26%
72353	傑瑞股份	24,512,285	2.55%
72354	天神娛樂	1,572,520	0.16%
72355	興民智通	40,400	0.00%
72358	森源電氣	1,198,139	0.12%
72359	北訊集團	1,183,466	0.10%
72361	神劍股份	315,084	0.03%
72364	中恆電氣	431,355	0.07%
72365	永安藥業	1,685,538	0.57%
72366	台海核電	5,990,878	0.69%
72367	康力電梯	595,191	0.07%
72368	太極股份	608,268	0.14%
72371	北方華創	1,252,011	0.27%
72372	偉星新材	35,457,862	2.70%
72373	千方科技	4,494,188	0.30%
72375	亞廈股份	531,979	0.03%
72376	新北洋	8,188,201	1.22%
72378	章源鎢業	406,439	0.04%
72382	藍帆醫療	4,958,640	0.57%
72383	合眾思壯	1,167,091	0.15%
72384	東山精密	5,036,065	0.31%
72385	大北農	9,131,672	0.21%
72387	維信諾	1,140,906	0.08%
72389	南洋科技	515,629	0.05%
72390	信邦製藥	15,723,262	0.94%
72392	北京利爾	1,248,188	0.10%
72393	力生製藥	114,534	0.06%
72396	星網銳捷	7,440,082	1.27%
72399	海普瑞	1,698,577	0.13%
72400	省廣集團	6,760,886	0.38%
72402	和而泰	2,529,639	0.29%
72405	四維圖新	3,620,202	0.27%
72407	多氟多	244,384	0.03%
72408	齊翔騰達	11,273,231	0.63%
72409	雅克科技	514,644	0.11%
72410	廣聯達	26,595,885	2.37%
72411	必康股份	1,478,708	0.09%
72413	雷科防務	553,536	0.04%
72414	高德紅外	637,267	0.10%
72415	海康威視	1,006,279,234	10.90%
72416	愛施德	1,053,417	0.08%
72418	康盛股份	10,494,733	0.92%
72419	天虹股份	43,072,708	3.58%
72421	達實智能	704,300	0.03%
72422	科倫藥業	37,425,707	2.59%
72424	貴州百靈	341,859	0.02%
72425	凱撒文化	5,941,649	0.73%
72426	勝利精密	17,646,789	0.51%
72427	*ST尤夫	230,125	0.05%
72428	雲南鍺業	365,461	0.05%
72429	兆馳股份	2,386,659	0.05%
72430	杭氧股份	10,562,566	1.09%
72431	棕櫚股份	349,651	0.02%
72432	九安醫療	102,971	0.02%
72433	太安堂	2,286,645	0.29%
72434	萬里揚	487,185	0.03%
72436	興森科技	623,170	0.04%
72437	譽衡藥業	692,199	0.03%
72439	啟明星辰	12,243,818	1.36%
72440	閏土股份	16,366,231	1.42%
72443	金洲管道	5,018	0.00%
72444	巨星科技	2,091,193	0.19%
72445	中南文化	596,221	0.04%
72446	盛路通信	480,416	0.06%
72447	晨鑫科技	2,621,240	0.18%
72448	中原內配	48,024	0.00%
72449	國星光電	2,377,329	0.38%
72450	康得新	91,340,696	2.57%
72456	歐菲科技	44,426,183	1.63%
72458	益生股份	526,831	0.15%
72460	贛鋒鋰業	5,847,049	0.52%
72461	珠江啤酒	1,962,622	0.08%
72462	嘉事堂	459,322	0.18%
72463	滬電股份	109,740,472	6.38%
72464	眾應互聯	588,326	0.18%
72465	海格通信	15,009,145	0.65%
72466	天齊鋰業	8,715,647	0.76%
72467	二六三	271,798	0.03%
72468	申通快遞	3,662,398	0.23%
72470	金正大	34,280,394	1.08%
72471	中超控股	1,132	0.00%
72474	榕基軟件	48,413	0.00%
72475	立訊精密	115,758,832	2.81%
72476	寶莫股份	2,300	0.00%
72477	雛鷹農牧	3,211,947	0.10%
72479	富春環保	590,300	0.06%
72480	新築股份	134,587	0.02%
72481	雙塔食品	42,803	0.00%
72482	廣田集團	3,916,691	0.25%
72484	江海股份	7,861,618	0.96%
72488	金固股份	240,357	0.03%
72489	浙江永強	3,548,727	0.16%
72490	山東墨龍	75,923	0.01%
72491	通鼎互聯	374,025	0.02%
72493	榮盛石化	16,531,757	0.26%
